drug_name,num_prescriber,total_cost
HARVONI,5202,5.99222254194E9
CRESTOR,138200,2.70409734621E9
LANTUS SOLOSTAR,101227,2.23768843824E9
ADVAIR DISKUS,120044,2.03832587797E9
SPIRIVA,108356,1.96611700496E9
JANUVIA,94504,1.91049392517E9
REVLIMID,5450,1.88715089236E9
NEXIUM,107854,1.76121386156E9
LANTUS,87111,1.62314986431E9
LYRICA,103305,1.52690605219E9
XARELTO,76816,1.29728385475E9
ABILIFY,33479,1.29125785704E9
COPAXONE,5369,1.23622746567E9
ENBREL,6948,1.22663436823E9
RENVELA,14906,1.16730474278E9
ZETIA,79385,1.05487947758E9
LEVEMIR FLEXTOUCH,56847,1.04262127348E9
SYMBICORT,82341,1.02275998158E9
HUMIRA PEN,8127,1.01375519054E9
GLEEVEC,4494,985510790
SENSIPAR,14142,8.6671939758E8
NAMENDA XR,48232,8.6022470056E8
NOVOLOG FLEXPEN,44974,8.4945131396E8
OXYCONTIN,39700,8.2441775062E8
TECFIDERA,3157,7.9254960683E8
ELIQUIS,45476,7.8232973168E8
LEVOTHYROXINE SODIUM,226740,7.6536900487E8
SOVALDI,1246,7.1515385798E8
HYDROCODONE-ACETAMINOPHEN,274312,7.0918516122E8
ATORVASTATIN CALCIUM,245741,7.0042575331E8
DULOXETINE HCL,141438,6.8540975711E8
RESTASIS,26757,6.766922818E8
ARIPIPRAZOLE,28067,6.3780919681E8
TRUVADA,6569,6.373472782E8
ZYTIGA,3167,6.3725023767E8
XTANDI,2765,6.049564745E8
INVEGA SUSTENNA,8237,6.0382067147E8
METOPROLOL SUCCINATE,190472,5.8962180175E8
NAMENDA,49430,5.3430019855E8
ATRIPLA,5222,5.290414537E8
PROAIR HFA,167184,5.1229651264E8
LATUDA,14339,5.0085772085E8
VESICARE,49277,4.9444108371E8
HUMALOG KWIKPEN U-100,28674,4.9031419132E8
OXYCODONE-ACETAMINOPHEN,159507,4.8879073637E8
SEROQUEL XR,20947,4.8719404702E8
GABAPENTIN,248495,4.7559566494E8
NOVOLOG,33594,4.524094103E8
IMBRUVICA,2194,4.4540602832E8
PRADAXA,34570,4.4051572231E8
OMEPRAZOLE,248385,4.3769009404E8
LETAIRIS,1539,4.2711983213E8
VICTOZA 3-PAK,17317,4.2526542427E8
TAMSULOSIN HCL,156481,4.1095106254E8
PRAVASTATIN SODIUM,169098,4.085102215E8
LUMIGAN,24982,4.0258695085E8
EXELON,23341,3.9886773433E8
POTASSIUM CHLORIDE,166435,3.9646770822E8
TRADJENTA,29912,3.9487418161E8
